market_time,stock,open,close,high,low,volume,volume_weighted_avg_price
2024-12-17 04:00:00,AAPL,250.29,250.29,250.29,250.29,825.0,250.3003
2024-12-17 04:04:00,AAPL,250.14,250.14,250.14,250.14,663.0,250.1768
2024-12-17 04:05:00,AAPL,250.1,250.1,250.1,250.1,218.0,250.1063
2024-12-17 04:06:00,AAPL,250.26,250.26,250.26,250.26,247.0,250.2575
2024-12-17 04:07:00,AAPL,250.22,250.22,250.22,250.22,336.0,250.2059
2024-12-17 04:09:00,AAPL,250.23,250.06,250.23,250.06,1384.0,250.1774
2024-12-17 04:10:00,AAPL,250.15,250.15,250.15,250.15,238.0,250.1585
2024-12-17 04:12:00,AAPL,250.21,250.21,250.21,250.21,519.0,250.2039
2024-12-17 04:13:00,AAPL,250.19,250.19,250.19,250.19,438.0,250.1888
2024-12-17 04:14:00,AAPL,250.21,250.21,250.21,250.21,155.0,250.1992
2024-12-17 04:15:00,AAPL,250.22,250.25,250.25,250.22,794.0,250.2335
2024-12-17 04:16:00,AAPL,250.3,250.31,250.31,250.3,933.0,250.2769
2024-12-17 04:17:00,AAPL,250.33,250.3,250.33,250.3,1003.0,250.3035
2024-12-17 04:19:00,AAPL,250.25,250.25,250.25,250.25,690.0,250.2316
2024-12-17 04:20:00,AAPL,250.25,250.25,250.25,250.25,1078.0,250.2495
2024-12-17 04:22:00,AAPL,250.16,250.16,250.16,250.16,623.0,250.1585
2024-12-17 04:27:00,AAPL,250.25,250.25,250.25,250.25,1086.0,250.2455
2024-12-17 04:37:00,AAPL,250.44,250.4,250.44,250.4,837.0,250.4198
2024-12-17 04:39:00,AAPL,250.44,250.44,250.44,250.44,231.0,250.4408
2024-12-17 04:40:00,AAPL,250.5,250.45,250.5,250.45,1253.0,250.4873
2024-12-17 04:42:00,AAPL,250.45,250.45,250.45,250.45,488.0,250.4577
2024-12-17 04:44:00,AAPL,250.41,250.41,250.41,250.41,282.0,250.4034
2024-12-17 04:50:00,AAPL,250.53,250.53,250.53,250.53,488.0,250.527
2024-12-17 04:54:00,AAPL,250.51,250.51,250.51,250.51,172.0,250.5011
